"geoid","datawrapper_id","geography","name","short_name","latitude","longitude","population","median_hh_income","poverty_rate_total","poverty_rate_deep","poverty_rate_notdeep","snap_rate_total","snap_rate_children","housing_owner_occupied","educ_hs_plus","educ_ba_plus","employment_rate_civilian","race_white","race_black","race_nhpi_amind","race_asian","race_other","race_twoplus","race_hispanic","foreign_born","has_health_insurance","homeless_count_year","homeless_count_age_25_54","homeless_count_age_55_plus","homeless_count_age_unknown","homeless_count_age_under_18","homeless_count_gender_nonconforming","homeless_count_hh_domestic_violence","homeless_count_location_shelter","homeless_count_location_publichotel","homeless_count_location_transitional","homeless_count_location_unsheltered","homeless_count_gender_male","homeless_count_chronic","homeless_count_total_adults","homeless_count_total_children","homeless_count_total_families","homeless_count_total_households","homeless_count_total_individuals","homeless_count_veterans","homeless_count_gender_transgender","homeless_count_gender_women","homeless_count_age_18_24"
"5000131525","5000131525","county subdivision","Hancock town, Addison County, Vermont","Hancock",43.9053287,-72.918171,323,51071,10.8,5,5.9,13.2,27.8,76.3,83.5,21.5,97.1,91.6,0,0,0.9,4.6,1.9,0.9,2.8,89.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5000139325","5000139325","county subdivision","Leicester town, Addison County, Vermont","Leicester",43.8745281,-73.0997492,1197,53563,8.3,3.7,4.6,9,18.9,89.2,91.1,22.2,94.5,96.7,0.4,0.5,0,0,0.9,1.5,2.3,95.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5000140075","5000140075","county subdivision","Lincoln town, Addison County, Vermont","Lincoln",44.0929248,-72.9735212,1374,60625,9.1,3,6.1,7.5,10.9,81.2,92.4,42.8,97.1,96,0,0,0.7,0,3.1,0.2,0.8,94.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5000144350","5000144350","county subdivision","Middlebury town, Addison County, Vermont","Middlebury",44.0018997,-73.1190475,8600,57713,10.3,4.4,5.9,14.2,22.8,56.8,93.2,43.1,94.1,83.8,3,0.1,5.7,0,2.5,4.8,9,97.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5000145550","5000145550","county subdivision","Monkton town, Addison County, Vermont","Monkton",44.2270403,-73.1317208,1949,91406,1.7,0.8,0.9,4,5.4,81.9,93.8,42.4,98.3,96.2,0,0,0.6,0,2.4,0.8,4,95.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5000148700","5000148700","county subdivision","New Haven town, Addison County, Vermont","New Haven",44.1049674,-73.1657672,1687,72788,4.7,2.7,2,4.7,7.3,81.1,92.3,27.2,95.8,97.2,0,0,1.4,0,1.1,0.4,4.7,96.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5000153725","5000153725","county subdivision","Orwell town, Addison County, Vermont","Orwell",43.8090987,-73.2779922,1321,58958,7.3,3.5,3.8,8.7,25.9,86.6,94,32.6,97,96.9,0.3,0,1.2,1.3,0,0.3,3.8,94.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5000153950","5000153950","county subdivision","Panton town, Addison County, Vermont","Panton",44.1304184,-73.3401912,654,65417,2.9,2,0.9,6.2,15,77.9,92.2,35.6,91.5,98.5,0,0.3,0.3,0,0.9,0,1.7,95.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5000159650","5000159650","county subdivision","Ripton town, Addison County, Vermont","Ripton",43.9849365,-72.9967754,549,49241,12.7,1.7,11,19.5,20.5,80.1,91.6,48.6,100,90.3,0,3.5,0,0,1.8,4.4,3.6,97.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5000162575","5000162575","county subdivision","Salisbury town, Addison County, Vermont","Salisbury",43.9254949,-73.1115282,1087,67813,8.2,4.5,3.7,9.2,21.5,80.3,93.1,36.1,98.4,96,0.4,0.7,0.9,0,1.1,0.8,2.2,96.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
